attribute	full_data_n13	cluster_0_n3	cluster_1_n10
1999	0.3418	0.6873	0.2381
2004	0.2953	0.6496	0.1891
2009	0.3111	0.6926	0.1967
2014	0.3557	0.8082	0.2199
2019	0.3572	0.8267	0.2163
2024_GWh_total	66664.928	153472.461	40622.6681
