model	correctly_classified_n	correctly_classified_pct	incorrectly_classified_n	incorrectly_classified_pct	kappa	mae	rmse	rae_pct	rrse_pct	total_instances	ignored_unknown	source_file
J48	16	64.0	9	36.0	0.4591	0.2587	0.4404	57.7979	92.6369	25	2	Country_5yr_Heat_processed.txt
Random_Forest	14	56.0	11	44.0	0.3373	0.3893	0.4524	86.9948	95.1711	25	2	Country_5yr_Heat_processed.txt
