attribute	full_data_n12	cluster_0_n2	cluster_1_n7	cluster_2_n3
1999	0.1233	0.0026	0.1821	0.0668
2004	0.122	0.01	0.1815	0.0579
2009	0.1136	0.0234	0.1827	0.0126
2014	0.1198	0.0532	0.186	0.0099
2019	0.1215	0.0825	0.1809	0.0091
2024	0.1204	0.1391	0.1631	0.0083
